name,gender,slug,quotes_vec,tweet,tweet_link,people_mentioned,date
Hillary Clinton,woman,hillary-clinton,killed jobs!,I will bring jobs back and get wages up. People haven't had a real wage increase in almost twenty years. Clinton killed jobs!,https://twitter.com/realDonaldTrump/status/756883131685273605,1,2016-07-23T16:06:15+0000
Hillary Clinton,woman,hillary-clinton,Crooked,Just saw Crooked Hillary and Tim Kaine together. ISIS and our other enemies are drooling. They don't look presidential to me!,https://twitter.com/realDonaldTrump/status/756952917152784384,1,2016-07-23T20:43:33+0000
Hillary Clinton,woman,hillary-clinton,Crooked,The Crooked Hillary V.P. choice is VERY disrespectful to Bernie Sanders and all of his supporters. Just another case of BAD JUDGEMENT by H!,https://twitter.com/realDonaldTrump/status/757172536882913280,1,2016-07-24T11:16:15+0000
Hillary Clinton,woman,hillary-clinton,BAD JUDGEMENT,The Crooked Hillary V.P. choice is VERY disrespectful to Bernie Sanders and all of his supporters. Just another case of BAD JUDGEMENT by H!,https://twitter.com/realDonaldTrump/status/757172536882913280,1,2016-07-24T11:16:15+0000
Hillary Clinton,woman,hillary-clinton,Crooked,"Crooked Hillary Clinton was not at all loyal to the person in her rigged system that pushed her over the top, DWS. Too bad Bernie flamed out",https://twitter.com/realDonaldTrump/status/757335224397225984,1,2016-07-24T22:02:42+0000
Hillary Clinton,woman,hillary-clinton,not at all loyal,"Crooked Hillary Clinton was not at all loyal to the person in her rigged system that pushed her over the top, DWS. Too bad Bernie flamed out",https://twitter.com/realDonaldTrump/status/757335224397225984,1,2016-07-24T22:02:42+0000
Hillary Clinton,woman,hillary-clinton,Crooked,"Even though Bernie Sanders has lost his energy and his strength, I don't believe that his supporters will let Crooked Hillary off the hook!",https://twitter.com/realDonaldTrump/status/757336511436075008,1,2016-07-24T22:07:49+0000
Hillary Clinton,woman,hillary-clinton,Crooked,"The highly neurotic Debbie Wasserman Schultz is angry that, after stealing and cheating her way to a Crooked Hillary victory, she's out!",https://twitter.com/realDonaldTrump/status/757343025983057922,1,2016-07-24T22:33:42+0000
Hillary Clinton,woman,hillary-clinton,Crooked,Watched Crooked Hillary Clinton and Tim Kaine on 60 Minutes. No way they are going to fix America's problems. ISIS &amp; all others laughing!,https://twitter.com/realDonaldTrump/status/757364534873128960,1,2016-07-24T23:59:10+0000
Hillary Clinton,woman,hillary-clinton,judgement so bad,Hillary was involved in the e-mail scandal because she is the only one with judgement so bad that such a thing could have happened!,https://twitter.com/realDonaldTrump/status/757546442240167936,1,2016-07-25T12:02:01+0000
Hillary Clinton,woman,hillary-clinton,Crooked,"Crooked Hillary Clinton knew everything that her ""servant"" was doing at the DNC - they just got caught, that's all! They laughed at Bernie.",https://twitter.com/realDonaldTrump/status/757565892146454532,1,2016-07-25T13:19:18+0000
Hillary Clinton,woman,hillary-clinton,Crooked,"Here we go again with another Clinton scandal, and e-mails yet (can you believe). Crooked Hillary knew the fix was in, B never had a chance!",https://twitter.com/realDonaldTrump/status/757571837463240704,1,2016-07-25T13:42:55+0000
Hillary Clinton,woman,hillary-clinton,Crooked,The State of Florida is so embarrassed by the antics of Crooked Hillary Clinton and Debbie Wasserman Schultz that they will vote for CHANGE!,https://twitter.com/realDonaldTrump/status/757576490213146624,1,2016-07-25T14:01:25+0000
Hillary Clinton,woman,hillary-clinton,Crooked,"Great POLL numbers are coming out all over. People don't want another four years of Obama, and Crooked Hillary would be even worse. #MAGA",https://twitter.com/realDonaldTrump/status/757577508346888192,1,2016-07-25T14:05:27+0000
Hillary Clinton,woman,hillary-clinton,betrayed Bernie voters,"Clinton betrayed Bernie voters. Kaine supports TPP, is in pocket of Wall Street, and backed Iraq War.",https://twitter.com/realDonaldTrump/status/757690132111777792,1,2016-07-25T21:32:59+0000
Hillary Clinton,woman,hillary-clinton,Crooked,"Elizabeth Warren, often referred to as Pocahontas, just misrepresented me and spoke glowingly about Crooked Hillary, who she always hated!",https://twitter.com/realDonaldTrump/status/757775689525309440,1,2016-07-26T03:12:57+0000
Hillary Clinton,woman,hillary-clinton,Crooked,"Bernie Sanders totally sold out to Crooked Hillary Clinton. All of that work, energy and money, and nothing to show for it! Waste of time.",https://twitter.com/realDonaldTrump/status/757777369272815617,1,2016-07-26T03:19:38+0000
Hillary Clinton,woman,hillary-clinton,Crooked,The invention of email has proven to be a very bad thing for Crooked Hillary in that it has proven her to be both incompetent and a liar!,https://twitter.com/realDonaldTrump/status/758020997383684096,1,2016-07-26T19:27:43+0000
Hillary Clinton,woman,hillary-clinton,incompetent,The invention of email has proven to be a very bad thing for Crooked Hillary in that it has proven her to be both incompetent and a liar!,https://twitter.com/realDonaldTrump/status/758020997383684096,1,2016-07-26T19:27:43+0000
Hillary Clinton,woman,hillary-clinton,a liar!,The invention of email has proven to be a very bad thing for Crooked Hillary in that it has proven her to be both incompetent and a liar!,https://twitter.com/realDonaldTrump/status/758020997383684096,1,2016-07-26T19:27:43+0000
Hillary Clinton,woman,hillary-clinton,Crooked,"Just like I have warned from the beginning, Crooked Hillary Clinton will betray you on the TPP. 
https://t.co/eoNTWK6I8y",https://twitter.com/realDonaldTrump/status/758135085820416000,1,2016-07-27T03:01:04+0000
Hillary Clinton,woman,hillary-clinton,Crooked,"As I have been saying, Crooked Hillary will approve the job killing TPP after the election, despite her statements to the contrary: top adv.",https://twitter.com/realDonaldTrump/status/758233935230959617,1,2016-07-27T09:33:52+0000
Hillary Clinton,woman,hillary-clinton,Crooked,Crooked Hillary Clinton wants to flood our country with Syrian immigrants that we know little or nothing about. The danger is massive. NO!,https://twitter.com/realDonaldTrump/status/758242674646323200,1,2016-07-27T10:08:35+0000
Hillary Clinton,woman,hillary-clinton,wants to flood our country with Syrian immigrants that we know little or nothing about,Crooked Hillary Clinton wants to flood our country with Syrian immigrants that we know little or nothing about. The danger is massive. NO!,https://twitter.com/realDonaldTrump/status/758242674646323200,1,2016-07-27T10:08:35+0000
Hillary Clinton,woman,hillary-clinton,Crooked,#CrookedHillary https://t.co/JeXFnO6e3s,https://twitter.com/realDonaldTrump/status/758802697763958784,1,2016-07-28T23:13:55+0000
Hillary Clinton,woman,hillary-clinton,unfit to lead the country,"Hillary's refusal to mention Radical Islam, as she pushes a 550% increase in refugees, is more proof that she is unfit to lead the country.",https://twitter.com/realDonaldTrump/status/758871653547806724,1,2016-07-29T03:47:56+0000
Hillary Clinton,woman,hillary-clinton,owned by Wall Street!,Hillary will never reform Wall Street. She is owned by Wall Street!,https://twitter.com/realDonaldTrump/status/758872873234681860,1,2016-07-29T03:52:46+0000
Hillary Clinton,woman,hillary-clinton,no one has worse judgement,No one has worse judgement than Hillary Clinton - corruption and devastation follows her wherever she goes.,https://twitter.com/realDonaldTrump/status/758874457142284288,1,2016-07-29T03:59:04+0000
Hillary Clinton,woman,hillary-clinton,corruption and devastation follows her,No one has worse judgement than Hillary Clinton - corruption and devastation follows her wherever she goes.,https://twitter.com/realDonaldTrump/status/758874457142284288,1,2016-07-29T03:59:04+0000
Hillary Clinton,woman,hillary-clinton,Crooked,"Crooked Hillary Clinton made up facts about me, and ""forgot"" to mention the many problems of our country, in her very average scream!",https://twitter.com/realDonaldTrump/status/759008377577967616,1,2016-07-29T12:51:13+0000
Hillary Clinton,woman,hillary-clinton,Crooked,Crooked Hillary Clinton mentioned me 22 times in her very long and very boring speech. Many of her statements were lies and fabrications!,https://twitter.com/realDonaldTrump/status/759021886055387136,1,2016-07-29T13:44:54+0000
Hillary Clinton,woman,hillary-clinton,very long and very boring speech,Crooked Hillary Clinton mentioned me 22 times in her very long and very boring speech. Many of her statements were lies and fabrications!,https://twitter.com/realDonaldTrump/status/759021886055387136,1,2016-07-29T13:44:54+0000
Hillary Clinton,woman,hillary-clinton,Crooked,"Crooked Hillary said that I ""couldn't handle the rough and tumble of a political campaign."" Really,I just beat 16 people and am beating her!",https://twitter.com/realDonaldTrump/status/759029315006705664,1,2016-07-29T14:14:25+0000
Hillary Clinton,woman,hillary-clinton,Crooked,The dishonest media didn't mention that Bernie Sanders was very angry looking during Crooked's speech. He wishes he didn't make that deal!,https://twitter.com/realDonaldTrump/status/759070106546638849,1,2016-07-29T16:56:30+0000
Hillary Clinton,woman,hillary-clinton,Crooked,"Wow, my campaign is hearing from more and more Bernie supporters that they will NEVER support Crooked Hillary. She sold them out, V.P. pick!",https://twitter.com/realDonaldTrump/status/759071976182861824,1,2016-07-29T17:03:56+0000
Hillary Clinton,woman,hillary-clinton,Crooked,"I am watching Crooked Hillary speak. Same old stuff, our country needs change!",https://twitter.com/realDonaldTrump/status/759082026687352834,1,2016-07-29T17:43:52+0000
Hillary Clinton,woman,hillary-clinton,Crooked,What Bernie Sanders really thinks of Crooked Hillary Clinton. https://t.co/VgMaAsZBep,https://twitter.com/realDonaldTrump/status/759084522705068032,1,2016-07-29T17:53:47+0000
Hillary Clinton,woman,hillary-clinton,a lose cannon,Hillary Clinton should not be given national security briefings in that she is a lose cannon with extraordinarily bad judgement &amp; insticts.,https://twitter.com/realDonaldTrump/status/759191265988653056,1,2016-07-30T00:57:57+0000
Hillary Clinton,woman,hillary-clinton,extraordinarily bad judgement & insticts,Hillary Clinton should not be given national security briefings in that she is a lose cannon with extraordinarily bad judgement &amp; insticts.,https://twitter.com/realDonaldTrump/status/759191265988653056,1,2016-07-30T00:57:57+0000
Hillary Clinton,woman,hillary-clinton,Crooked,#CrookedHillary Job Application https://t.co/CKXkAlGSiV,https://twitter.com/realDonaldTrump/status/759192213234393088,1,2016-07-30T01:01:43+0000
Hillary Clinton,woman,hillary-clinton,Crooked,We are suffering through the worst long-term unemployment in the last 70 years. I want change - Crooked Hillary Clinton does not.,https://twitter.com/realDonaldTrump/status/759372422692954112,1,2016-07-30T12:57:48+0000
Hillary Clinton,woman,hillary-clinton,Crooked,"Crooked Hillary Clinton is soft on crime, supports open borders, and wants massive tax hikes. A formula for disaster!",https://twitter.com/realDonaldTrump/status/759450265208651776,1,2016-07-30T18:07:07+0000
Hillary Clinton,woman,hillary-clinton,a formula for disaster!,"Crooked Hillary Clinton is soft on crime, supports open borders, and wants massive tax hikes. A formula for disaster!",https://twitter.com/realDonaldTrump/status/759450265208651776,1,2016-07-30T18:07:07+0000
Hillary Clinton,woman,hillary-clinton,Crooked,#CrookedHillary https://t.co/xyoPFJmByp,https://twitter.com/realDonaldTrump/status/759457253925785604,1,2016-07-30T18:34:54+0000
Hillary Clinton,woman,hillary-clinton,Crooked,"Why doesn't the media want to report that on the two ""Big Thursdays"" when Crooked Hillary and I made our speeches - Republican's won ratings",https://twitter.com/realDonaldTrump/status/759477522232901632,1,2016-07-30T19:55:26+0000
Hillary Clinton,woman,hillary-clinton,Crooked,Word is that Crooked Hillary has very small and unenthusiastic crowds in Pennsylvania. Perhaps it is because her husband signed NAFTA?,https://twitter.com/realDonaldTrump/status/759506712516784128,1,2016-07-30T21:51:25+0000
Hillary Clinton,woman,hillary-clinton,has very small and unenthusiastic crowds in Pennsylvania,Word is that Crooked Hillary has very small and unenthusiastic crowds in Pennsylvania. Perhaps it is because her husband signed NAFTA?,https://twitter.com/realDonaldTrump/status/759506712516784128,1,2016-07-30T21:51:25+0000
