name,bio,num_insults,date_of_first_insult
Ben Schreckinger,,2,2015-12-03T16:49:45+0000
Mark Halperin,,2,2015-12-16T13:46:22+0000
Arianna Huffington,,2,2015-07-18T13:37:55+0000
Jennifer Rubin,,2,2015-12-04T20:37:37+0000
Ruth Marcus,,2,2016-01-03T19:03:56+0000
Bernard Goldberg,,2,2015-12-11T04:44:00+0000
Debbie Wasserman Schultz,,2,2016-07-24T20:30:06+0000
Tom Llamas,,2,2015-08-21T04:38:51+0000
Hugh Hewitt,,2,2015-09-05T12:14:11+0000
Jeff Horwitz,,2,2015-11-23T16:23:10+0000
Juan Williams,,2,2015-07-03T23:29:08+00:00
Amy Chozick,,2,2015-12-24T22:31:41+0000
Alwaleed bin Talal,,2,2015-12-12T03:53:02+0000
John Roberts,,2,2015-06-26T14:06:22+00:00
John R. Allen,,2,2016-07-29T13:53:31+0000
Donny Deutsch,,2,2016-08-22T01:08:08
Brit Hume,,2,2016-02-17T03:04:22+0000
Rick Wilson,,2,2015-12-10T04:24:40+0000
Cory Booker,,2,2016-07-26T02:14:29+0000
Don Lemon,,2,2016-08-10T15:08:01+0000
Bakari Sellers,,1,2016-09-09T17:32:36+0000
Brent Bozell,,1,2016-01-23T01:32:32+0000
Marty Walsh,,1,2015-07-27T23:53:44+0000
Melinda Henneberger,,1,2015-12-18T18:02:12+0000
Dan Henninger,,1,2015-07-31T13:36:33+0000
Alisyn Camerota,,1,2016-01-21T20:36:09+0000
Errol Louis,,1,2015-11-30T12:44:45+0000
Paulina Vega,,1,2015-07-05T08:57:17+00:00
Charles Blow,,1,2015-11-02T18:21:51+0000
Charles Lane,,1,2015-10-18T18:15:24+0000
Charles Koch,,1,2015-11-03T14:49:14+0000
Jeff Zucker,,1,2016-09-09T14:42:56+0000
Kasie Hunt,,1,2015-10-28T15:18:45+0000
Dana Perino,,1,2015-07-24T02:15:20+0000
Rodrigo Duterte,,1,2016-09-06T11:12:11+0000
Rick Scott,,1,2015-06-25T12:29:09+00:00
Neil Young,,1,2015-06-24T21:01:34+00:00
John Harwood,,1,2015-10-30T02:26:03+0000
Lisa Belkin,,1,2016-05-19T01:54:08+0000
Sam Liccardo,,1,2016-06-04T13:11:09+0000
Ben Cardin,,1,2015-06-24T14:16:48+00:00
Barbara Res,,1,2016-05-17T03:46:35+0000
Woody Johnson,,1,2016-01-04T20:00:04+0000
Chris Christie,,1,2015-11-30T14:09:34+0000
Lincoln Chafee,,1,2015-10-14T01:08:59+0000
Nikki Haley,,1,2016-03-01T19:33:20+0000
Paul Singer,,1,2015-11-01T12:29:58+0000
Mark Cuban,,1,2016-09-24T17:08:17+0000
Anderson Cooper,,1,2015-07-23T02:47:26+0000
John Oliver,,1,2015-10-31T23:21:44+0000
Joe Biden,,1,2016-07-27T12:57:20+0000
Ronda Rousey,Ronda Rousey is widely recognized as the best female martial artist in the world.,1,2015-11-16T00:10:29+0000
Joy Behar,,1,2016-01-07T21:06:19+0000
Willie Geist,,1,2015-06-25T00:36:14+00:00
Frank Bruni,,1,2016-01-19T14:44:25
Stephanie Rawlings-Blake,,1,2016-08-07T13:49:29+0000
George H.W. Bush,,1,2015-08-10T16:40:15+0000
Huma Abedin,,1,2015-08-31T11:52:44+0000
John King,,1,2016-07-10T18:58:10+0000
Steve Rattner,,1,2015-07-27T18:51:17+0000
Mary Katharine Ham,,1,2015-11-20T15:03:04+0000
Tavis Smiley,,1,2016-01-11T14:16:36+0000
Hallie Jackson,,1,2015-12-25T01:56:08+0000
Joe McQuaid,,1,2015-12-30T00:36:45+0000
Molly Sims,,1,2015-06-25T01:55:14+00:00
Angela Merkel,Angela Merkel is the Chancellor of Germany.,1,2015-12-09T13:53:59+0000
Frank VanderSloot,,1,2015-11-24T22:03:45+0000
