"insult_slugs","quotes_vec","tweet","tweet_link","people_mentioned","date"
"elizabeth-warren","goofy","Let’s properly check goofy Elizabeth Warren’s records to see if she is Native American. I say she’s a fraud!","https://twitter.com/realDonaldTrump/status/728725098409164801","1","2016-05-06T23:16:17+0000"
"elizabeth-warren","a fraud!","Let’s properly check goofy Elizabeth Warren’s records to see if she is Native American. I say she’s a fraud!","https://twitter.com/realDonaldTrump/status/728725098409164801","1","2016-05-06T23:16:17+0000"
"elizabeth-warren","Goofy","Goofy Elizabeth Warren, Hillary Clinton’s flunky, has a career that is totally based on a lie. She is not Native American.","https://twitter.com/realDonaldTrump/status/728725179074023425","1","2016-05-06T23:16:36+0000"
"elizabeth-warren","Hillary Clinton’s flunky","Goofy Elizabeth Warren, Hillary Clinton’s flunky, has a career that is totally based on a lie. She is not Native American.","https://twitter.com/realDonaldTrump/status/728725179074023425","1","2016-05-06T23:16:36+0000"
"elizabeth-warren","has a career that is totally based on a lie","Goofy Elizabeth Warren, Hillary Clinton’s flunky, has a career that is totally based on a lie. She is not Native American.","https://twitter.com/realDonaldTrump/status/728725179074023425","1","2016-05-06T23:16:36+0000"
"elizabeth-warren","Goofy","Goofy Elizabeth Warren and her phony Native American heritage are on a Twitter rant. She is too easy! I'm driving her nuts.","https://twitter.com/realDonaldTrump/status/728777556804153346","1","2016-05-07T02:44:44+0000"
"elizabeth-warren","phony Native American heritage","Goofy Elizabeth Warren and her phony Native American heritage are on a Twitter rant. She is too easy! I'm driving her nuts.","https://twitter.com/realDonaldTrump/status/728777556804153346","1","2016-05-07T02:44:44+0000"
"elizabeth-warren","Goofy","Goofy Elizabeth Warren is weak and ineffective. Does nothing. All talk, no action -- maybe her Native American name?","https://twitter.com/realDonaldTrump/status/728777599560892416","1","2016-05-07T02:44:54+0000"
"elizabeth-warren","weak and ineffective","Goofy Elizabeth Warren is weak and ineffective. Does nothing. All talk, no action -- maybe her Native American name?","https://twitter.com/realDonaldTrump/status/728777599560892416","1","2016-05-07T02:44:54+0000"
"elizabeth-warren","Does nothing","Goofy Elizabeth Warren is weak and ineffective. Does nothing. All talk, no action -- maybe her Native American name?","https://twitter.com/realDonaldTrump/status/728777599560892416","1","2016-05-07T02:44:54+0000"
"elizabeth-warren","All talk, no action -- maybe her Native American name?","Goofy Elizabeth Warren is weak and ineffective. Does nothing. All talk, no action -- maybe her Native American name?","https://twitter.com/realDonaldTrump/status/728777599560892416","1","2016-05-07T02:44:54+0000"
"elizabeth-warren","Goofy","Goofy Elizabeth Warren has been one of the least effective Senators in the entire U.S. Senate. She has done nothing!","https://twitter.com/realDonaldTrump/status/730401662574182405","1","2016-05-11T14:18:21+0000"
"elizabeth-warren","one of the least effective Senators in the entire U.S. Senate","Goofy Elizabeth Warren has been one of the least effective Senators in the entire U.S. Senate. She has done nothing!","https://twitter.com/realDonaldTrump/status/730401662574182405","1","2016-05-11T14:18:21+0000"
"elizabeth-warren","has done nothing!","Goofy Elizabeth Warren has been one of the least effective Senators in the entire U.S. Senate. She has done nothing!","https://twitter.com/realDonaldTrump/status/730401662574182405","1","2016-05-11T14:18:21+0000"
"elizabeth-warren","Goofy","Goofy Elizabeth Warren didn’t have the guts to run for POTUS. Her phony Native American heritage stops that and VP cold.","https://twitter.com/realDonaldTrump/status/730445388856098817","1","2016-05-11T17:12:06+0000"
"elizabeth-warren","didn’t have the guts to run for POTUS","Goofy Elizabeth Warren didn’t have the guts to run for POTUS. Her phony Native American heritage stops that and VP cold.","https://twitter.com/realDonaldTrump/status/730445388856098817","1","2016-05-11T17:12:06+0000"
"elizabeth-warren","phony Native American heritage","Goofy Elizabeth Warren didn’t have the guts to run for POTUS. Her phony Native American heritage stops that and VP cold.","https://twitter.com/realDonaldTrump/status/730445388856098817","1","2016-05-11T17:12:06+0000"
"elizabeth-warren","Goofy","If the people of Massachusetts found out what an ineffective Senator goofy Elizabeth Warren has been, she would lose!","https://twitter.com/realDonaldTrump/status/730477118786801669","1","2016-05-11T19:18:11+0000"
"elizabeth-warren","didn’t have the guts to run for POTUS","If the people of Massachusetts found out what an ineffective Senator goofy Elizabeth Warren has been, she would lose!","https://twitter.com/realDonaldTrump/status/730477118786801669","1","2016-05-11T19:18:11+0000"
"elizabeth-warren","phony Native American heritage","If the people of Massachusetts found out what an ineffective Senator goofy Elizabeth Warren has been, she would lose!","https://twitter.com/realDonaldTrump/status/730477118786801669","1","2016-05-11T19:18:11+0000"
"elizabeth-warren","using the woman’s card","Goofy Elizabeth Warren is now using the woman’s card like her friend crooked Hillary. See her dumb tweet “when a woman stands up to you…”","https://twitter.com/realDonaldTrump/status/730482068753424385","1","2016-05-11T19:37:51+0000"
"elizabeth-warren","Our Native American Senator","Our Native American Senator, goofy Elizabeth Warren, couldn’t care less about the American worker…does nothing to help!","https://twitter.com/realDonaldTrump/status/730488544700010496","1","2016-05-11T20:03:35+0000"
"elizabeth-warren","goofy couldn’t care less about the American worker","Our Native American Senator, goofy Elizabeth Warren, couldn’t care less about the American worker…does nothing to help!","https://twitter.com/realDonaldTrump/status/730488544700010496","1","2016-05-11T20:03:35+0000"
"elizabeth-warren","does nothing to help!","Our Native American Senator, goofy Elizabeth Warren, couldn’t care less about the American worker…does nothing to help!","https://twitter.com/realDonaldTrump/status/730488544700010496","1","2016-05-11T20:03:35+0000"
"elizabeth-warren","lied","Goofy Elizabeth Warren lied when she says I want to abolish the Federal Minimum Wage. See media—asking for increase!","https://twitter.com/realDonaldTrump/status/730493295550468096","1","2016-05-11T20:22:28+0000"
"elizabeth-warren","failed Senator","Isn’t it funny when a failed Senator like goofy Elizabeth Warren can spend a whole day tweeting about Trump &amp; gets nothing done in Senate?","https://twitter.com/realDonaldTrump/status/730498173492445184","1","2016-05-11T20:41:51+0000"
"elizabeth-warren","goofy","Isn’t it funny when a failed Senator like goofy Elizabeth Warren can spend a whole day tweeting about Trump &amp; gets nothing done in Senate?","https://twitter.com/realDonaldTrump/status/730498173492445184","1","2016-05-11T20:41:51+0000"
"elizabeth-warren","gets nothing done","Isn’t it funny when a failed Senator like goofy Elizabeth Warren can spend a whole day tweeting about Trump &amp; gets nothing done in Senate?","https://twitter.com/realDonaldTrump/status/730498173492445184","1","2016-05-11T20:41:51+0000"
"elizabeth-warren","If it were up to goofy Elizabeth Warren, we’d have no jobs in America","If it were up to goofy Elizabeth Warren, we’d have no jobs in America—she doesn’t have a clue.","https://twitter.com/realDonaldTrump/status/730504511291265024","1","2016-05-11T21:07:02+0000"
"elizabeth-warren","she doesn’t have a clue","If it were up to goofy Elizabeth Warren, we’d have no jobs in America—she doesn’t have a clue.","https://twitter.com/realDonaldTrump/status/730504511291265024","1","2016-05-11T21:07:02+0000"
"elizabeth-warren","Goofy","@elizabethforma Goofy Elizabeth Warren, sometimes referred to as Pocahontas because she faked the fact she is native American, is a lowlife!","https://twitter.com/realDonaldTrump/status/735344013499326465","1","2016-05-25T05:37:29+0000"
"elizabeth-warren","lowlife!","@elizabethforma Goofy Elizabeth Warren, sometimes referred to as Pocahontas because she faked the fact she is native American, is a lowlife!","https://twitter.com/realDonaldTrump/status/735344013499326465","1","2016-05-25T05:37:29+0000"
"elizabeth-warren","Total hypocrite!","@elizabethforma Goofy Elizabeth Warren, sometimes known as Pocahontas, bought foreclosed housing and made a quick killing. Total hypocrite!","https://twitter.com/realDonaldTrump/status/735444721716199424","1","2016-05-25T12:17:40+0000"
"elizabeth-warren","All talk, no action!","Goofy Senator Elizabeth Warren @elizabethforma has done less in the U.S. Senate than practically any other senator. All talk, no action!","https://twitter.com/realDonaldTrump/status/735448311914602496","1","2016-05-25T12:31:56+0000"
"elizabeth-warren","Goofy","Pocahontas is at it again! Goofy Elizabeth Warren, one of the least productive U.S. Senators, has a nasty mouth. Hope she is V.P. choice.","https://twitter.com/realDonaldTrump/status/741240449906663424","1","2016-06-10T12:07:49+0000"
"elizabeth-warren","one of the least productive U.S. Senators","Pocahontas is at it again! Goofy Elizabeth Warren, one of the least productive U.S. Senators, has a nasty mouth. Hope she is V.P. choice.","https://twitter.com/realDonaldTrump/status/741240449906663424","1","2016-06-10T12:07:49+0000"
"elizabeth-warren","has a nasty mouth","Pocahontas is at it again! Goofy Elizabeth Warren, one of the least productive U.S. Senators, has a nasty mouth. Hope she is V.P. choice.","https://twitter.com/realDonaldTrump/status/741240449906663424","1","2016-06-10T12:07:49+0000"
